_seed1_s4-12-1_a4-2
2021-10-05_17-09-13	0	to save:  19, pool size = 100, survivor count = 20, games per cycle = 20, mutation rate = 0.5, mutation degree = 0.25
2021-10-05_18-01-18	130	duration:27.062462	[17,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_18-01-47	131	duration:28.919737	[16,16,15,15,15,15,14,13,13,13,13,13,13,13,13,13,13,13,13,13]
2021-10-05_18-02-13	132	duration:25.930384	[15,15,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12,12,12]
2021-10-05_18-02-41	133	duration:28.670363	[17,16,16,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13]
2021-10-05_18-03-08	134	duration:26.764361	[17,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,12]
2021-10-05_18-03-35	135	duration:26.842398	[17,15,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,12,12,12]
2021-10-05_18-04-02	136	duration:27.034209	[16,15,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_18-04-30	137	duration:28.074737	[17,17,16,16,16,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13]
2021-10-05_18-04-57	138	duration:27.350733	[16,15,14,14,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12]
2021-10-05_18-05-25	139	duration:27.967817	[16,16,15,15,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13]
2021-10-05_18-05-54	140	duration:28.923963	[17,17,15,15,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13]
2021-10-05_18-06-22	141	duration:28.109342	[16,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,13,13]
2021-10-05_18-06-51	142	duration:28.507899	[16,16,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13]
2021-10-05_18-07-19	143	duration:27.870519	[17,17,16,15,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_18-07-46	144	duration:27.447909	[16,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,12]
2021-10-05_18-08-16	145	duration:29.677715	[17,16,16,16,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,12]
2021-10-05_18-08-43	146	duration:26.699339	[16,16,16,15,15,15,14,14,14,14,14,14,13,13,13,13,13,12,12,12]
2021-10-05_18-09-08	147	duration:25.747806	[15,15,14,14,14,14,14,14,14,14,13,13,13,12,12,12,12,12,12,12]
2021-10-05_18-09-36	148	duration:28.095931	[17,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13,13,13,12,12]
2021-10-05_18-10-03	149	duration:26.901424	[15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13]
2021-10-05_18-10-31	150	duration:28.005467	[17,16,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13]
2021-10-05_18-11-03	151	duration:31.166331	[16,16,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13]
2021-10-05_18-11-31	152	duration:28.662393	[15,15,15,15,15,15,15,14,14,14,13,13,13,13,13,13,13,13,13,13]
2021-10-05_18-11-58	153	duration:27.272943	[16,16,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_18-12-27	154	duration:28.571377	[16,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,13,13,13]
